record_id,station_id,river_name,state,date,month,rainfall_mm,upstream_rainfall_mm,forecast_rainfall_next24_mm,water_level_m,warning_level_m,danger_level_m,discharge_cumecs,temperature_c,humidity_pct,soil_moisture_pct,wind_speed_kmph,reservoir_release_cumecs,embankment_condition,historical_flood_freq,distance_to_river_km,elevation_m,population_density,flood_risk_score,alert_level,flood_occurred
959,STN0135,yamuna,BIHAR,2019-06-05,6.0,397.7,,293.5,10.38,7.49,8.34,2889.9,21.9,76.5,46.6,12.4,108.3,good,3.0,11.43,168.4,7341.0,0.804,severe,1
960,STN0256,Brahmaputra,assam,03-Sep-2022,9.0,13.7,12.1,13.9,2.07,3.81,5.14,787.2,28.5,79.7,43.6,9.8,118.7,,4.0,6.71,375.1,2954.0,0.299,low,0
961,STN0412,TAPI,KARNATAKA,23/03/2016,3.0,93.0,110.1,111.3,7.82,7.26,8.69,2236.7,19.5,63.1,23.1,8.1,129.7, Good ,0.0,2.17,306.9,10503.0,0.518,high,0
962,stn0309,Narmada,Maharashtra,2022-04-30,4.0,,164.4,89.2,4.56,4.78,5.77,1207.5,26.5,52.0,28.1,18.1,33.3,MODERATE,0.0,6.65,249.7,3577.0,0.542, Moderate ,0
963,STN0285,CAUVERY,andhra pradesh,2024/01/26,1.0,21.8,16.2,24.9,6.68,8.28,9.15,1572.9,25.1,46.0,25.5,8.6,52.4,good,0.0,7.48,57.3,7872.0,0.417,Low,0
964,STN0179, Yamuna , Bihar ,2017-04-22,4.0,57.9,47.1,50.5,4.82,6.01,6.96,1805.2,25.1,62.3,40.8,11.4,56.1,,1.0,7.38,244.8,,0.397,Low,0
965,STN0091, Brahmaputra ,Assam,01-24-2021,1.0,99.6,120.2,53.1,4.88,5.42,6.78,1288.7,26.2,59.2,29.2,22.7,0.6, Good ,1.0,10.9,98.8,9209.0,0.481,Moderate,0
966,STN0186,Yamuna,bihar,03-04-2015,3.0,27.6,20.5,26.2,2.71,4.57,5.7,604.8,29.3,63.9,45.7,9.4,60.7,MODERATE,0.0,2.36,58.9,6023.0,0.282,low,0
967,STN0180,Cauvery,andhra pradesh,2018/09/11,9.0,311.9,248.3,280.8,5.27,4.33,5.79,1061.9,26.2,77.3,70.3,12.7,244.2, Good ,4.0,13.81,220.9,9286.0,0.726,High,1
968,STN0056,GODAVARI,WEST BENGAL,2018/09/20,9.0,87.0,94.7,69.1,4.85,5.89,6.96,1324.8,26.2,83.2,43.6,20.5,, Good ,2.0,13.33,372.7,11204.0,0.542,MODERATE,0
969,STN0469,Brahmaputra,assam,08-27-2024,8.0,112.1,104.5,79.9,7.26,7.88,8.81,1951.2,28.4,81.9,51.7,22.2,218.2,Moderate,1.0,13.76,57.0,4183.0,0.608,Moderate,0
970,stn0390, Narmada ,Maharashtra,21/09/2024,9.0,106.3,127.3,116.2,8.78,8.38,9.24,1868.8,24.6,74.6,75.3,16.5,229.0,good,1.0,11.64,209.8,2433.0,0.647,HIGH,1
971,STN0100,MAHANADI,madhya pradesh,20/06/2017,6.0,135.6,125.6,136.9,8.38,8.32,9.43,2959.5,36.7,70.4,,10.1,193.3, Good ,4.0,4.69,346.0,3458.0,0.636,HIGH,0
972,STN0337,yamuna,BIHAR,2016-10-28,10.0,108.9,101.1,146.6,4.92,5.05,6.46,1632.3,31.4,51.1,42.1,27.5,176.3,Poor,0.0,9.14,182.7,10718.0,0.626,moderate,0
973,STN0206,Godavari,West Bengal,20/03/2023,3.0,36.6,32.2,44.7,5.34,5.88,6.8,1573.5,22.6,44.1,38.2,,92.5,Good,0.0,3.37,210.0,3869.0,0.435, Low ,0
974,STN0396,Ganga,UTTAR PRADESH,22/12/2017,12.0,64.3,67.1,32.6,7.96,7.92,8.86,2762.6,17.2,59.7,7.6,21.5,0.0,,0.0,0.67,38.5,191.0,0.494,High,1
975,STN0318,Mahanadi,madhya pradesh,12-07-2024,12.0,24.7,25.8,32.9,7.57,8.05,9.33,1792.6,14.5,53.7,22.2,5.5,185.5,GOOD,2.0,8.65,279.5,3450.0,0.491,MODERATE,0
976,STN0242,BRAHMAPUTRA,Assam,2017-12-04,12.0,36.0,23.8,47.6,3.24,5.07,6.11,1290.4,23.5,54.9,23.6,8.6,119.5,Gud,1.0,2.39,337.6,6535.0,0.322,low,No
977,STN0204,Cauvery,ANDHRA PRADESH,2022-08-16,8.0,260.8,241.1,230.2,4.58,3.49,4.94,1115.1,31.6,67.3,80.1,11.0,127.9, Moderate ,2.0,13.68,145.2,8381.0,0.758,HIGH,1
978,STN0058,CAUVERY,Andhra Pradesh,16/11/2020,11.0,65.6,79.0,74.2,5.69,6.01,6.84,1500.5,23.1,66.5,37.9,14.1,57.9, Good ,1.0,0.51,272.2,5112.0,0.394,LOW,0
979,STN0109,cauvery,Andhra Pradesh,15/02/2015,2.0,92.6,128.3,114.7,8.47,8.28,9.25,2264.2,23.0,56.6,31.0,,106.7,GOOD,1.0,8.81,245.1,877.0,0.542,High,0
980,Stn-0443,GANGA,Uttar Pradesh,31/08/2020,8.0,,163.8,84.3,4.0,3.98,5.39,1424.0,29.7,75.1,59.2,0.9,204.1,GOOD,1.0,4.31,178.6,1054.0,0.479,high,0
981,STN0053,GODAVARI,WEST BENGAL,23/01/2019,1.0,38.5,35.6,27.9,4.29,5.7,6.62,1461.2,30.7,40.3,26.7,12.9,112.6,,1.0,0.87,348.2,7218.0,0.407,low,0
982,STN0244,mahanadi,MADHYA PRADESH,2021-02-12,2.0,23.3,26.3,14.0,4.16,4.94,6.14,1029.7,23.5,52.0,43.0,8.8,0.0,Moderate,0.0,4.13,251.3,3840.0,0.405, Low ,0
983,STN0138,krishna,odisha,10-13-2015,10.0,89.0,91.4,113.6,3.65,4.43,5.74,867.3,21.8,49.6,60.5,0.6,150.4,good,1.0,11.38,274.0,1899.0,0.514, Moderate ,0
984,stn0164,Godavari,west bengal,2024-01-13,1.0,6.6,5.2,10.5,1.17,3.48,4.57,358.9,22.7,57.6,42.7,22.1,30.8,,0.0,4.69,113.5,5564.0,0.174, Low ,0
985,STN0070,Tapi,Karnataka,2016/03/28,3.0,91.9,81.9,63.6,8.19,8.19,9.32,2905.6,35.7,50.8,,14.8,29.7, Good ,1.0,2.57,314.0,411.0,0.441,High,1
986,stn0177, Ganga ,uttar pradesh,29/01/2019,1.0,10.0,7.0,15.0,2.77,4.17,5.24,553.8,26.0,65.9,13.2,8.2,0.0,Modrate,0.0,10.16,14.3,2941.0,0.285, Low ,0
987,Stn-0057,yamuna,BIHAR,16/06/2017,6.0,138.7,120.3,115.0,2.39,3.4,4.56,358.6,34.8,76.9,49.5,14.4,194.3,Good,3.0,4.98,277.4,,0.474,Moderate,0
988,STN0070,tapi,Karnataka,2018-07-14,7.0,135.4,154.2,184.7,8.26,8.19,9.32,1604.6,21.5,83.9,,11.6,244.2,GOOD,1.0,0.43,314.0,411.0,0.596,high,1
989,STN0027, Kosi ,Gujarat,06/09/2019,9.0,140.4,124.8,102.9,5.28,5.72,6.71,1038.9,27.3,89.5,67.7,8.5,217.3,moderate,3.0,9.51,7.0,7099.0,0.52,moderate,Yes
990,STN0119,narmada,MAHARASHTRA,18/09/2019,9.0,123.0,133.6,68.3,,8.0,9.44,2023.6,25.1,84.9,66.4,4.3,49.5,Moderate,5.0,6.06,101.2,359.0,0.623,MODERATE,0
991,STN0142,Narmada,maharashtra,07/11/2022,11.0,150.4,207.2,166.9,6.05,6.18,7.53,2419.6,15.0,65.9,,18.0,41.2,Poor,0.0,9.66,47.2,6778.0,0.504,Moderate,1
992,STN0316,kosi,GUJARAT,2022-01-21,1.0,75.6,95.8,69.3,7.9,8.2,9.15,1857.9,21.9,46.8,27.2,2.9,0.0, Good ,0.0,2.23,398.0,3726.0,0.376,low,0
993,STN0450,Brahmaputra, Assam ,2020/03/02,3.0,127.9,79.5,74.1,6.0,6.65,7.48,1467.4,25.2,44.2,29.4,,50.4,MODERATE,0.0,4.2,260.1,220.0,0.472,MODERATE,1
994,STN0135,YAMUNA, Bihar ,2019-05-31,5.0,66.2,89.5,59.4,7.12,7.49,8.34,1230.1,29.6,55.5,40.7,17.8,99.0, Good ,0.0,10.03,168.4,7341.0,0.5,Moderate,0
995,STN0460,BRAHMAPUTRA,ASSAM,2023-06-17,6.0,41.3,,14.3,,3.62,4.83,1086.3,25.7,76.1,86.6,12.1,143.7,GOOD,0.0,0.2,292.8,1791.0,0.387,Low,0
996,stn0426,Kosi,GUJARAT,2016/03/29,3.0,77.2,95.1,96.2,7.85,8.06,9.1,1386.4,27.9,54.4,41.9,,40.0,GOOD,0.0,7.92,214.5,11465.0,0.49,Moderate,0
997,STN0355,KOSI,GUJARAT,13/05/2018,5.0,27.4,22.5,9.4,2.48,3.92,5.2,869.2,30.5,61.9,69.4,14.6,47.7, Good ,0.0,1.18,390.5,10559.0,0.345,LOW,0
998,STN0047,YAMUNA, Bihar ,22/01/2017,1.0,18.4,25.2,0.6,7.13,8.53,9.43,2201.1,30.0,58.1,7.9,11.1,132.4,MODERATE,0.0,12.59,278.6,5338.0,0.439,LOW,0
999,stn0343,GODAVARI,WEST BENGAL,2023-07-22,7.0,,88.3,33.6,,6.9,8.24,1521.5,26.9,100.0,55.1,11.6,261.9,POOR,1.0,12.93,308.9,7035.0,0.468,Moderate,0
1000,STN0088,Ganga,Uttar Pradesh,01-09-2017,1.0,64.9,,66.2,4.14,4.8,5.9,626.7,31.0,53.6,25.8,19.5,5.9,GOOD,0.0,1.12,279.7,6007.0,0.447, Low ,0
1001,STN0142,narmada,Maharashtra,2018/12/06,12.0,41.4,39.2,10.5,4.9,6.18,7.53,1545.7,23.4,49.5,16.3,28.1,116.6,POOR,0.0,14.36,47.2,6778.0,0.397,LOW,0
1002,STN0493,Mahanadi,MADHYA PRADESH,2020-10-21,10.0,123.7,76.5,139.6,7.35,7.73,8.65,1859.6,30.6,54.9,29.4,19.4,32.3,moderate,1.0,3.84,321.0,5223.0,0.546,moderate,0
1003,STN0122,kosi,gujarat,23/04/2021,4.0,2.0,2.6,0.0,3.84,5.39,6.4,1135.7,29.1,43.9,17.8,10.8,92.3, Good ,0.0,13.94,374.1,6766.0,0.364,low,0
1004,STN0091,brahmaputra,Assam,2022/08/09,8.0,138.0,88.2,124.8,5.85,5.42,6.78,1064.6,,64.9,56.3,22.6,174.5,Poor,3.0,13.78,98.8,9209.0,0.568,HIGH,1
1005,STN0081,NARMADA,Maharashtra,09/09/2020,9.0,53.7,67.2,62.7,6.05,6.62,7.65,1039.8,,74.3,64.3,13.7,261.1,Moderate,2.0,13.68,328.0,2314.0,0.556,MODERATE,0
1006,STN0080,TAPI,KARNATAKA,2018-10-17,10.0,61.3,65.3,55.1,5.63,5.9,7.12,1783.9,22.7,48.7,20.0,32.4,0.0,good,0.0,4.21,177.1,10119.0,0.421,LOW,0
1007,STN0122,kosi,gujarat,2017-11-28,11.0,54.8,55.1,33.3,5.26,5.39,6.4,1571.7,28.0,53.8,14.4,21.4,,GOOD,0.0,3.75,374.1,6766.0,0.436, Low ,0
1008,STN0279,CAUVERY,andhra pradesh,2015-10-08,10.0,76.2,83.7,81.9,6.93,8.02,9.35,1762.5,35.1,41.4,47.9,17.7,160.0,MODERATE,0.0,9.8,73.5,8360.0,0.482, Moderate ,0
1009,STN0426,kosi, Gujarat ,2015-05-16,5.0,25.1,27.0,18.8,6.81,8.06,9.1,2009.5,25.0,52.4,54.0,8.8,98.4,MODERATE,1.0,11.92,214.5,11465.0,0.405,Low,0
1010,STN0170,Yamuna,BIHAR,24/06/2016,6.0,45.9,,45.8,3.62,5.24,6.24,843.7,35.3,86.0,72.1,,306.5,good,2.0,10.99,183.4,4029.0,0.432,LOW,0
1011,STN0495,KRISHNA,Odisha,02-21-2021,2.0,12.5,11.1,23.1,4.76,6.8,7.84,1320.3,29.8,53.8,15.0,25.8,35.5,Good,0.0,2.12,224.3,,0.162,low,0
1012,STN0285,Cauvery,andhra pradesh,05-30-2023,5.0,101.7,75.2,59.1,7.27,8.28,9.15,2059.5,22.0,69.1,35.9,26.8,,Good,0.0,10.08,57.3,7872.0,0.55,Moderate,0
1013,STN0441, Narmada ,Maharashtra,2023-11-18,11.0,78.4,96.3,47.7,2.73,3.59,4.57,551.4,20.9,46.0,39.6,12.2,0.0,Moderate,0.0,0.44,152.0,9039.0,0.436,Low,0
1014,STN0289,GANGA,UTTAR PRADESH,2020-09-16,9.0,375.8,254.7,397.1,11.21,7.34,8.35,2778.0,29.0,83.8,52.5,,343.0,Good,1.0,12.69,244.5,9482.0,1.11,Severe,1
1015,STN0260,Yamuna,Bihar,10-03-2021,10.0,45.3,60.0,35.8,6.33,6.53,7.35,1528.5,20.3,67.9,,13.1,89.1,Good,0.0,4.6,181.6,9011.0,0.446,low,0
1016,STN0040,godavari,West Bengal,2024-05-14,5.0,9.1,11.8,9.5,1.84,3.71,4.91,467.4,31.9,30.7,42.6,9.2,114.8, Good ,0.0,8.19,271.0,1016.0,0.236,low,No
1017,STN0299,Brahmaputra,ASSAM,2020/11/13,11.0,31.8,28.3,22.9,,3.95,5.27,578.2,21.6,60.2,38.5,7.1,148.1,GOOD,1.0,13.18,385.4,6605.0,0.35,LOW,0
1018,STN0082, Tapi , Karnataka ,11-07-2018,11.0,40.2,25.3,45.8,4.83,6.64,7.98,1491.3,,40.5,9.5,21.2,39.2,Moderate,0.0,1.0,52.5,9651.0,0.382, Low ,0
1019,STN0173,Krishna,ODISHA,2019/03/06,3.0,134.3,85.9,125.1,4.16,5.65,6.48,906.0,31.9,53.4,42.1,6.6,86.3, Good ,0.0,7.24,296.1,2538.0,0.409,Low,0
1020,STN0340,kosi,Gujarat,06-12-2015,6.0,86.2,53.0,52.7,77.8,5.45,6.38,790.9,35.8,70.5,74.9,14.9,90.3,GOOD,3.0,3.86,168.6,2950.0,0.438,low,0
1021,STN0473, Kosi ,GUJARAT,26/08/2016,8.0,58.2,45.7,71.4,4.18,6.32,7.72,1606.6,31.3,65.4,73.5,4.3,81.8,good,2.0,12.97,204.8,8340.0,0.374,Low,0
1022,STN0313,Tapi,Karnataka,2016-01-30,1.0,33.7,39.7,13.3,4.72,5.95,6.86,1797.9,23.3,58.5,59.7,21.5,21.5,,0.0,6.21,313.4,314.0,0.47,MODERATE,0
1023,STN0320,YAMUNA,BIHAR,2015/06/18,6.0,42.1,27.7,56.1,5.78,7.16,8.15,1502.8,29.1,68.9,52.8,,238.3,Moderate,2.0,6.41,99.5,1439.0,0.469,MODERATE,0
1024,STN0087,Brahmaputra,Assam,2016/06/20,6.0,140.8,157.0,157.3,,3.45,4.73,970.0,40.1,66.5,50.1,15.0,193.1,MODERATE,3.0,7.34,161.5,8762.0,0.629,HIGH,1
1025,STN0161,Cauvery,Andhra Pradesh,2016-10-23,10.0,38.0,32.1,17.4,4.77,6.61,8.02,1379.5,36.7,63.3,52.9,21.6,135.7,MODERATE,0.0,2.73,144.6,841.0,0.449,Low,0
1026,stn0302,Mahanadi, Madhya Pradesh ,11/04/2021,4.0,34.9,32.4,35.6,,3.94,4.76,714.0,24.3,48.7,36.3,17.8,,Good,1.0,0.36,175.8,1417.0,0.295,low,0
1027,STN0064,KOSI,Gujarat,2015-05-10,5.0,1.9,2.2,0.0,5.6,6.35,7.42,920.3,21.4,62.8,48.0,16.1,130.8,GOOD,0.0,1.9,264.8,4667.0,0.509,moderate,0
1028,STN0086, Mahanadi ,madhya pradesh,05-02-2016,5.0,7.9,9.0,12.4,6.57,7.86,9.01,2266.9,30.3,49.1,18.1,14.5,62.7,moderate,0.0,4.54,149.8,1059.0,0.336, Low ,0
1029,STN0265, Tapi ,karnataka,2018-03-10,3.0,21.6,22.8,33.1,2.24,4.1,5.01,757.8,20.3,40.0,38.9,9.7,,MODERATE,2.0,3.78,396.9,5708.0,0.255,low,0
1030,STN0482,kosi,Gujarat,2023-06-29,6.0,48.5,58.9,39.4,,6.79,7.86,1880.5,31.6,,62.5,10.5,208.0,Modrate,1.0,14.27,350.0,10304.0,0.478, Moderate ,0
1031,stn0340, Kosi ,Gujarat,06/09/2024,9.0,236.4,,139.0,5.7,5.45,6.38,1143.2,27.6,83.2,64.5,16.0,126.3,moderate,3.0,6.84,168.6,2950.0,0.668,HIGH,1
1032,stn0387, Krishna ,ODISHA,2019-10-22,10.0,84.7,107.8,98.7,5.9,6.56,7.42,2273.0,23.2,53.5,26.1,13.7,20.2,Gud,1.0,5.89,256.5,11661.0,0.483,MODERATE,0
1033,STN0332,Narmada, Maharashtra ,2021-05-11,5.0,27.4,20.4,34.1,,7.61,8.57,1873.1,30.0,55.4,38.1,3.6,, Good ,0.0,10.93,251.4,672.0,0.403,LOW,0
1034,Stn-0363,CAUVERY,ANDHRA PRADESH,2023-12-08,12.0,20.3,12.9,15.2,3.12,4.72,5.74,724.2,,53.9,39.2,9.9,31.5,Moderate,0.0,0.82,43.7,10721.0,0.305, Low ,0
1035,STN0412, Tapi ,karnataka,11-09-2021,11.0,56.8,78.4,65.6,,7.26,8.69,2225.3,26.8,45.9,39.5,11.3,89.7,POOR,0.0,4.95,306.9,10503.0,0.432,Low,0
1036,stn0397,Yamuna,BIHAR,2022-04-20,4.0,18.0,13.6,27.6,6.5,8.24,9.16,1258.1,24.9,48.1,34.6,8.0,78.7,moderate,1.0,8.57,287.9,2706.0,0.44, Low ,0
1037,STN0305,BRAHMAPUTRA,Assam,08/01/2021,1.0,25.3,15.6,23.4,1.67,3.68,4.82,353.6,15.5,37.4,8.1,14.2,94.2, Good ,1.0,4.54,178.6,8904.0,0.258,Low,0
1038,STN0278,BRAHMAPUTRA,assam,22/12/2016,12.0,53.0,56.2,55.2,3.69,5.62,6.49,1211.4,23.9,196.0,20.8,,20.9,MODERATE,0.0,13.83,164.2,-7750.0,0.328, Low ,0
1039,STN0282,Cauvery, Andhra Pradesh ,2023/06/16,6.0,32.0,,34.4,2.6,4.75,5.79,952.7,,87.5,78.3,10.7,305.2,,0.0,0.41,390.4,,0.39,LOW,0
1040,STN0293,GODAVARI,West Bengal,2022-01-21,1.0,24.8,34.2,0.0,4.33,6.0,7.04,1266.1,31.1,72.7,31.9,0.3,0.0,MODERATE,0.0,12.11,162.5,8081.0,0.304,LOW,0
1041,STN0446,YAMUNA,BIHAR,30-Mar-2021,3.0,,111.9,105.7,5.71,5.47,6.57,2306.6,25.9,49.9,,1.6,44.5,GOOD,0.0,6.44,100.1,8056.0,0.48,HIGH,No
1042,STN0238,tapi, Karnataka ,2021-03-21,3.0,115.9,152.5,104.5,4.61,4.56,5.71,906.8,25.9,41.2,38.1,25.0,143.7, Poor ,1.0,6.46,65.2,8804.0,0.564,High,1
1043,stn0338, Tapi , Karnataka ,2021-01-14,1.0,40.6,53.9,28.9,7.12,7.45,8.58,2481.2,28.9,60.7,21.4,26.1,130.2,poor,1.0,13.77,81.9,2305.0,0.476,MODERATE,0
1044,stn0088,ganga,UTTAR PRADESH,2021/03/02,3.0,63.5,44.0,52.2,3.61,4.8,5.9,1312.2,23.1,50.4,,23.6,181.4,Good,0.0,11.87,279.7,6007.0,0.426,Low,0
1045,STN0014,BRAHMAPUTRA,Assam,04-23-2016,4.0,47.1,50.9,43.4,5.31,6.28,7.37,1115.7,17.3,54.8,36.8,5.9,135.7,,0.0,11.14,27.5,,0.417,Low,0
1046,STN0050,Mahanadi,MADHYA PRADESH,2018/07/07,7.0,137.4,110.0,141.2,2.3,3.7,4.92,478.7,27.3,67.0,47.6,26.8,228.6,good,1.0,8.97,274.9,5264.0,0.421,LOW,0
1047,STN0455,mahanadi,Madhya Pradesh,09/01/2020,1.0,36.3,34.3,28.2,3.37,4.39,5.53,622.6,25.1,60.6,31.0,24.0,128.5, Good ,0.0,7.92,368.0,8715.0,0.337,Low,0
1048,STN0309,narmada,Maharashtra,02-01-2024,2.0,27.4,20.0,11.4,3.93,4.78,5.77,639.6,,58.0,18.3,14.0,55.2,GOOD,0.0,7.93,249.7,3577.0,0.31,Low,0
1049,STN0392,krishna,Odisha,2015/08/20,8.0,95.7,70.3,104.0,5.37,6.54,7.43,1276.6,28.1,69.2,56.1,17.8,253.5,Moderate,2.0,7.03,296.3,3440.0,0.529,moderate,0
1050,STN0415,GODAVARI,west bengal,2024/08/24,8.0,124.3,92.4,76.6,7.16,7.73,8.85,2428.0,33.0,78.7,63.9,17.6,241.8, Moderate ,2.0,14.61,37.5,11914.0,0.616,moderate,0
1051,STN0018, Mahanadi ,Madhya Pradesh,2019/05/31,5.0,97.7,112.7,64.6,3.48,4.68,6.14,1048.1,31.2,43.0,41.1,5.9,42.6,poor,1.0,8.25,53.2,7157.0,0.505,Moderate,0
1052,STN0074,Krishna,ODISHA,2024-12-17,12.0,15.4,,15.3,7.16,8.01,8.96,2774.7,19.8,53.2,66.0,4.5,131.3, Good ,0.0,12.38,164.6,6265.0,0.439,LOW,0
1053,STN0062,Cauvery,andhra pradesh,2019-10-28,10.0,29.7,25.3,24.6,4.98,6.53,7.75,1277.1,21.7,49.8,,14.3,180.1,,0.0,1.97,262.2,4977.0,0.395, Low ,0
1054,STN0246,Mahanadi,MADHYA PRADESH,11/02/2021,2.0,50.1,62.2,20.3,,7.53,8.95,1864.4,26.7,58.6,52.1,22.3,0.0,MODERATE,0.0,6.98,303.3,9877.0,0.442,Low,0
1055,STN0388,Kosi, Gujarat ,11-25-2021,11.0,9.5,7.1,2.3,2.93,5.45,6.5,634.3,,41.4,34.3,1.6,77.5,Moderate,0.0,2.38,247.5,4043.0,0.316,LOW,0
1056,STN0461,Narmada,Maharashtra,29/07/2024,7.0,48.9,,42.8,6.12,6.94,8.38,2392.3,30.5,71.9,61.6,,154.2,moderate,4.0,1.0,311.7,239.0,0.549,MODERATE,1
1057,STN0477, Godavari , West Bengal ,2023-10-25,10.0,14.2,13.3,0.0,5.73,6.97,8.08,1547.5,,,,12.4,69.2,GOOD,0.0,10.03,238.2,,0.339,low,0
1058,STN0140,Godavari,WEST BENGAL,15/07/2017,7.0,127.9,80.8,125.0,3.52,4.13,5.15,952.3,,72.6,39.7,7.7,247.5,Gud,1.0,12.93,212.4,3086.0,0.559,MODERATE,0
1059,STN0167,Kosi,GUJARAT,2016-09-01,9.0,265.8,261.6,144.9,7.11,5.49,6.46,2676.4,30.7,80.1,,19.0,125.3,Good,2.0,7.46,268.7,,0.758,severe,1
1060,STN0285, Cauvery ,Andhra Pradesh,23/05/2015,5.0,67.6,75.6,103.3,8.28,8.28,9.15,3191.4,28.1,58.9,21.3,21.0,131.0, Good ,0.0,6.82,57.3,7872.0,0.541,high,0
1061,STN0140,godavari,West Bengal,01-17-2024,1.0,41.0,53.2,24.0,2.45,4.13,5.15,492.7,22.4,,42.8,18.5,165.3,Poor,0.0,10.91,212.4,3086.0,0.273,Low,0
1062,STN0285,CAUVERY,ANDHRA PRADESH,11-13-2022,11.0,73.7,63.4,83.8,7.42,8.28,9.15,2797.3,27.4,55.4,44.9,3.1,111.8, Good ,1.0,11.42,57.3,,0.401,Low,1
1063,STN0221,Ganga,UTTAR PRADESH,01/10/2023,10.0,18.0,16.4,15.5,2.95,4.0,5.42,721.1,29.9,57.5,27.9,17.7,159.7,poor,1.0,11.08,188.8,9662.0,0.377,Low,0
1064,STN0110,BRAHMAPUTRA,Assam,27/11/2018,11.0,7.2,4.6,19.2,6.34,6.99,8.13,1812.1,16.0,59.2,47.6,18.3,118.1, Good ,1.0,13.35,307.1,5902.0,0.463,Moderate,0
1065,STN0085,Mahanadi,madhya pradesh,23/10/2016,10.0,42.1,55.3,29.2,5.69,6.11,7.42,1412.0,15.7,57.3,53.8,21.1,52.1, Good ,0.0,10.75,133.2,1688.0,0.456,Moderate,0
1066,STN0051,BRAHMAPUTRA,Assam,17/12/2022,12.0,25.3,20.3,21.8,6.51,7.17,8.39,1376.3 cumecs,23.0,59.3,30.0,9.0,128.4,Poor,0.0,10.24,201.4,1154.0,0.497,moderate,0
1067,STN0098,NARMADA, Maharashtra ,20/01/2022,1.0,48.0,30.6,9.3,3.31,3.99,4.89,665.3,28.7,69.0,24.9,26.8,57.3,good,1.0,11.3,188.1,920.0,0.411,LOW,0
1068,stn0385, Narmada ,maharashtra,27-Dec-2019,12.0,18.1,23.7,12.0,2.68,4.38,5.41,987.4,23.6,53.2,36.1,15.7,25.2,Poor,0.0,3.97,265.4,1766.0,0.334, Low ,0
1069,stn0445,Mahanadi,Madhya Pradesh,17/07/2023,7.0,282.2,207.4,232.7,5.23,3.92,5.24,1256.9 cumecs,30.4,100.0,42.4,17.6,120.2,Good,5.0,13.73,377.5,11306.0,0.681,HIGH,0
1070,STN0039, Yamuna ,BIHAR,2015-02-25,2.0,33.7,39.3,54.0,6.2,7.15,8.03,1974.5,22.5,51.1,47.8,14.3,113.5,MODERATE,0.0,14.58,84.7,6029.0,0.493, Moderate ,0
1071,Stn-0002,Godavari,West Bengal,2016/08/18,8.0,54.3,61.8,40.5,7.91,8.19,9.01,2147.1,34.2,86.2,69.8,15.4,69.3,POOR,1.0,14.91,71.2,162.0,0.606,Moderate,0
1072,STN0169,narmada,maharashtra,2018-03-31,3.0,85.9,52.4,46.7,7.84,7.97,9.02,2920.4,25.4,47.0,31.1,10.7,59.6,poor,0.0,11.28,251.4,2060.0,0.539,Moderate,0
1073,STN0150,Tapi, Karnataka ,2015/07/12,7.0,159.1,126.7,173.3,7.18,7.55,8.36,2148.5,27.0,235.9,,10.8,181.7,Good,0.0,2.05,255.1,1072.0,0.628,moderate,0
1074,STN0398, Cauvery , Andhra Pradesh ,05/03/2020,3.0,10.2,13.1,0.0,4.32,6.46,7.33,727.2,27.7,60.1,52.8,19.2,93.0, Good ,0.0,1.88,33.5,536.0,0.325,LOW,0
1075,STN0046,krishna,odisha,07-10-2023,7.0,100.0,117.4,60.2,7.61,8.43,9.24,1651.1,25.3,69.2,43.2,31.4,231.8,MODERATE,2.0,2.33,75.0,6255.0,0.501,MODERATE,1
1076,STN0219,Yamuna,BIHAR,06-19-2019,6.0,71.6,91.8,39.0,6.23,7.54,8.53,1786.3,30.9,62.1,85.2,0.0,175.8,Moderate,3.0,12.93,225.3,1093.0,0.488,Moderate,0
1077,stn0392,Krishna,odisha,07-22-2018,7.0,266.5,344.1,187.0,7.43,6.54,7.43,2843.0,30.8,84.4,57.4,33.3,178.5, Moderate ,3.0,2.57,296.3,3440.0,0.759,SEVERE,1
1078,Stn-0212, Godavari ,west bengal,30-Jul-2024,7.0,320.3,442.3,251.3,10.01,7.54,8.5,3223.3,35.6,78.8,44.3,23.7,200.2,,3.0,4.37,262.1,2503.0,0.798,severe,1
1079,STN0135,yamuna,Bihar,23/09/2017,9.0,104.9,70.0,99.6,7.84,7.49,8.34,2725.3,17.6,100.0,87.5,17.7,257.8,Moderate,3.0,3.66,168.4,7341.0,0.63,high,1
1080,STN0342, Tapi ,karnataka,2020/06/01,6.0,74.3,73.7,91.0,3.31,4.67,6.01,971.9,26.9,85.0,66.9,24.3,184.3,Moderate,2.0,4.45,294.8,512.0,0.494,moderate,0
1081,STN0020,YAMUNA,BIHAR,2024/11/21,11.0,47.1,30.2,60.7,7.62,7.36,8.26,2963.0,25.0,51.6,5.0,15.9,113.3,Moderate,0.0,14.88,373.9,5010.0,0.495,HIGH,0
1082,STN0445,Mahanadi,MADHYA PRADESH,2023-08-28,8.0,178.1,113.6,122.8,4.27,3.92,5.24,1313.1,,83.0,62.9,1.1,205.6,Moderate,0.0,2.59,377.5,11306.0,0.636, High ,1
1083,STN0335,KOSI,Gujarat,2016-12-02,12.0,18.0,11.6,18.7,3.97,5.03,6.29,1422.6,25.8,43.1,38.6,20.0,69.8,Good,1.0,7.55,56.6,,0.286,LOW,0
